S9,GVA09,S1,S6,AREA_TOT,PERIMETER,AREA,MESO_ID,S7,Area_1,covered_area,S6_S8,S3,S4,HH01,POP07,S8,S2
0.0,0.39422,0.39422,0.0,4.76432042316E7,0.24355748169,0.00417815724,2010_00056,0.0,,0.0,0.0,0.0,0.0,18.10342,19.34509,0.0,0.0
0.0,0.11209,0.11209,0.0,4.85049182257E7,0.25293222837,0.00425335553,2010_00057,0.0,,0.0,0.0,0.0,0.0,10.35693,54.48066,0.0,0.0
0.0,0.0,0.0,0.0,4.30668392787E7,0.37958568323,0.00377493877,2010_00058,0.0,,0.0,0.0,0.0,0.0,0.00125,4.74376,0.0,0.0
13.50393,18.31119,4.80726,0.0,5.45657171064E7,0.2752379971,0.0047838492,2010_00059,0.0,,0.0,0.0,0.0,0.0,33.91743,562.17217,0.0,0.0
0.0,0.0,0.0,0.0,4.38683022402E7,0.41880421613,0.00384526275,2010_00060,0.0,,0.0,0.0,0.0,0.0,0.0107,14.23127,0.0,0.0
0.0,0.15801,0.15801,0.0,4.69693520687E7,0.25504652826,0.00411851876,2010_00061,0.0,,0.0,0.0,0.0,0.0,13.69656,35.13022,0.0,0.0
0.0,0.14699,0.14699,0.0,5.15036097416E7,0.3204649482,0.00451506079,2010_00062,0.0,,0.0,0.0,0.0,0.0,31.77362,90.02103,0.0,0.0
0.00857,7.74948,5.49728,1.53151,5.39811990102E7,0.28819111122,0.00473286624,2010_00063,0.54826,,0.0,1.53151,0.15727,0.00659,31.76082,356.32091,0.0,0.0
0.0,135.40075,0.09408,4.01902,5.37379514282E7,0.30718000617,0.00471249075,2010_00064,0.0,,0.001065835033767631,135.30667,0.0,0.0,199.88519,189.37267,131.28765,0.0
0.0,101.99641,0.40268,1.22842,5.12115111687E7,0.30652470385,0.00449102303,2010_00065,79.53859,,4.608172260317173E-6,1.22842,20.82672,0.0,15.04168,96.98705,0.0,0.0
5.04987,23.65902,0.03093,0.0,5.72760733718E7,0.40681119722,0.00502101343,2010_00066,18.57822,,0.0,0.0,0.0,0.0,0.02876,1.18594,0.0,0.0
0.0,0.36325,0.36325,0.0,4.67333185838E7,0.25020230613,0.00409911147,2010_00067,0.0,,0.0,0.0,0.0,0.0,17.75768,64.48362,0.0,0.0
0.0,0.20343,0.20343,0.0,5.23927871568E7,0.26739613052,0.00459606561,2010_00068,0.0,,0.0,0.0,0.0,0.0,28.48074,128.18343,0.0,0.0
0.0,0.1755,0.02485,0.0,5.64908832253E7,0.31048453493,0.00495256229,2010_00069,0.0,,0.0,0.0,0.15065,0.0,1.7E-4,22.53285,0.0,0.0
0.0,0.24127,0.24127,0.0,4.74178998867E7,0.2576670441,0.00415872378,2010_00070,0.0,,0.0,0.0,0.0,0.0,13.82736,38.95628,0.0,0.0
0.0,413.1582,0.27586,0.0,4.67845144389E7,0.24465866609,0.00410355856,2010_00071,0.0,,0.0,0.0,0.0,0.0,17.67702,176.86935,0.0,412.88234
0.0,27.0733,0.78974,5.37134,4.57740343056E7,0.28138320304,0.00401360403,2010_00072,16.10625,,0.0,5.37134,4.62027,0.1857,16.03852,109.87424,0.0,0.0
0.0,0.40163,0.40163,0.0,4.8781322799E7,0.25361828021,0.00427861022,2010_00073,0.0,,0.0,0.0,0.0,0.0,10.39142,32.38001,0.0,0.0
0.0,0.06299,0.06291,8.0E-5,4.60879166041E7,0.37575470393,0.00404099779,2010_00074,0.0,,0.0,8.0E-5,0.0,0.0,0.00168,7.70785,0.0,0.0
